Task,Model,Type,Qubits,Parameters,Notebook,F1,AUC,R2,RMSE
1A,RA-MQTF (multi-task),Quantum-Hybrid,4x4,0 (fixed) + shared NN,04_proposed_algorithm/04_RegimeAware_MQTF,0.8336,0.9579,,
1A,Q-MoE Concat All + GBM,Quantum-Hybrid,4x4,0 (fixed) + GBM,04_proposed_algorithm/01_QMoE_Fire,0.7817,0.9338,,
1A,QART,Quantum-Hybrid,4,attn+head+reservoirs,04_proposed_algorithm/02_QART,0.7545,,,
1A,QRC + LogReg,Quantum,8,0 (fixed),02_quantum_baselines/03_Cloud_Quantum_Models,0.7241,,,
1A,SVM (RBF),Classical,-,-,01_eda_and_visualization/01_EDA_and_Baselines,0.7089,,,
1A,MQTF Multi-Task,Quantum-Hybrid,4,0 (fixed) + 3 heads,03_novel_explorations/04_MultiTask_QTF,0.6931,0.8927,,
1A,Quantum Kernel SVM,Quantum,6,-,01_eda_and_visualization/01_EDA_and_Baselines,0.6829,,,
1A,XGBoost,Classical,-,-,01_eda_and_visualization/01_EDA_and_Baselines,0.6818,,,
1A,Logistic Regression,Classical,-,-,01_eda_and_visualization/01_EDA_and_Baselines,0.6726,,,
1A,Random Forest,Classical,-,-,01_eda_and_visualization/01_EDA_and_Baselines,0.6505,,,
1A,QGR + GBM,Quantum-Hybrid,4,0 (fixed) + graph,03_novel_explorations/02_Quantum_Graph_Reservoir,0.6501,0.8846,,
1A,Dressed Quantum Circuit,Hybrid,4,quantum+MLP,02_quantum_baselines/04_Advanced_Architectures,0.6369,,,
1A,VQC,Quantum,6,36,01_eda_and_visualization/01_EDA_and_Baselines,0.56,,,
1A,Quanvolutional NN,Hybrid,4,quantum+MLP,02_quantum_baselines/04_Advanced_Architectures,0.5217,,,
1A,CQP (90% conformal),Quantum,4,0 (fixed) + quantile,03_novel_explorations/03_Conformal_Quantum_Prediction,0.4273,0.7199,,
1A,QGAN-Augmented LogReg,Hybrid,6,54+MLP,02_quantum_baselines/04_Advanced_Architectures,0.4189,,,
1A,Trainable Quantum Kernel + SVM,Quantum,6,12,02_quantum_baselines/03_Cloud_Quantum_Models,0.3871,,,
1A,QCNN (conv+pool),Quantum,8,63,02_quantum_baselines/04_Advanced_Architectures,0.2443,,,
1A,Projected Quantum Kernel + SVM,Quantum,6,0,02_quantum_baselines/04_Advanced_Architectures,0.2162,,,
2-severity,RA-MQTF (multi-task),Quantum-Hybrid,4x4,0 (fixed) + shared NN,04_proposed_algorithm/04_RegimeAware_MQTF,,,0.639,1.5633
2-severity,Q-MoE Concat All + GBM,Quantum-Hybrid,4x4,0 (fixed) + GBM,04_proposed_algorithm/01_QMoE_Fire,,,0.535,1.7742
2-severity,MQTF Multi-Task,Quantum-Hybrid,4,0 (fixed) + 3 heads,03_novel_explorations/04_MultiTask_QTF,,,0.4748,1.8854
2-severity,QGR + GBM,Quantum-Hybrid,4,0 (fixed) + graph,03_novel_explorations/02_Quantum_Graph_Reservoir,,,0.4434,1.9409
2-severity,QART,Quantum-Hybrid,4,attn+head+reservoirs,04_proposed_algorithm/02_QART,,,0.2793,
2-premium,QLSTM (time series log-scale),Quantum,4,144,02_quantum_baselines/03_Cloud_Quantum_Models,,,0.3491,0.458
2-premium,Temporal XGBoost,Classical,-,-,02_quantum_baselines/03_Cloud_Quantum_Models,,,0.8283,0.235
2-premium,Random Forest (non-temporal),Classical,-,-,02_quantum_baselines/01_Task2_Insurance_QML,,,0.9222,
2-premium,XGBoost,Classical,-,-,02_quantum_baselines/01_Task2_Insurance_QML,,,0.893,
2-premium,Temporal XGBoost (time series),Classical,-,-,02_quantum_baselines/03_Cloud_Quantum_Models,,,0.8604,
2-premium,Linear Regression,Classical,-,-,02_quantum_baselines/01_Task2_Insurance_QML,,,0.8024,
2-premium,Classical LSTM (time series),Classical,-,-,02_quantum_baselines/03_Cloud_Quantum_Models,,,0.7647,
2-premium,Quantum Kernel Ridge,Quantum,5,-,02_quantum_baselines/01_Task2_Insurance_QML,,,0.4892,
2-premium,QRC + Ridge,Quantum,8,0 (fixed),02_quantum_baselines/03_Cloud_Quantum_Models,,,0.4304,
2-premium,RA-MQTF (multi-task premium head),Quantum-Hybrid,4x4,0 (fixed) + shared NN,04_proposed_algorithm/04_RegimeAware_MQTF,,,-1.276,0.1606
2-premium,MQTF Multi-Task (premium head),Quantum-Hybrid,4,0 (fixed) + 3 heads,03_novel_explorations/04_MultiTask_QTF,,,-1.296,0.1613
2-premium,VQR,Quantum,5,15,02_quantum_baselines/01_Task2_Insurance_QML,,,-2.3099,
